Sample,Period,Region,Site Name,Ti,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,CaO,TiO2,MnO2
1,1,PL,JI-2,-1.38947048041773,-0.518775552155211,-1.63812645713041,-0.957398533102425,-1.15130186678324,-0.62822554027735,-0.039415728639279,0.819120260466834,-0.849556767872271,-0.698480610664533,-0.630210035697973,3.56662994705254,0.99234104197466,-1.73328733699947,-1.31626604897111,-0.454293106212052
2,1,PL,JI-2,-0.184801320207001,-0.319611864239116,1.11231543040615,0.020745582588553,0.336545224695519,-0.359238024237501,0.666146656697436,-1.65622989152712,1.12804871418678,-1.03812346102187,0.639089306222811,-0.784504937803963,-1.02987452500405,1.46427727129762,0.643968158343354,-0.414511257968896
3,1,PL,JI-2,1.17099965068144,0.145363837636717,1.07894055991124,0.148548677317456,-0.175757517817317,2.29248064209203,0.806648548772854,0.641369561204441,5.00902743056177,0.974918228885665,1.77467534601471,-0.23103895641757,0.829964550038982,-0.218862893120068,0.871902368496199,0.062870920948988
4,1,PL,JI-2,-0.882863794754487,-0.310603160990247,-0.266848931918414,0.15717576794133,-0.693625065114709,-0.04687652207719,-0.356111797244489,0.206288997777293,2.15001006277444,0.509669481961685,0.252465248919032,0.022652096478554,0.921542958437229,0.765312143353281,0.162050114020195,-0.348208177563634
5,1,PL,JI-2,-1.41927725684181,-0.434097258677899,-1.69382124167439,-0.775466170653814,-1.03949471759151,-1.09986388770223,-0.659339079263144,0.258035369669759,-0.596736793674708,-0.231348982267357,-0.213995978340619,3.16856651333712,0.586641443819892,-0.931887664442596,-0.45662845639467,-0.480814338374157
6,1,PL,JI-2,-1.24476852795389,0.220628965728219,-1.08867145664468,-0.627355057288181,-0.971751736897892,-1.44639709604601,-0.232603024245774,-0.128230266578042,-0.416535322704105,0.343348285162676,-0.190826449996782,0.215831782122225,0.267687620374809,-0.869623529482038,-1.0622822148008,0.195477081759511
7,1,PL,JI-2,0.437703861187826,-0.716622853985861,0.856494022610677,1.12027973449157,-0.006485241666711,0.404264535145353,-0.478655307204501,-0.038040546355365,-0.793152554783818,-1.04066615566089,-0.977752960855522,-1.22098320406644,1.2748084810711,-1.60474202611315,-0.834348004647956,-0.759287276076256
8,1,PL,JI-2,-0.044766311442733,-0.107505387940931,-0.044161217842355,0.04784838941577,0.068696406647077,0.126418749633446,-0.01106393287458,-0.869407826055056,-0.552320396991975,-1.04497908074479,-0.536973620434823,-0.170942508342322,-0.421445943614113,-1.00620292229875,-0.398016802355367,-0.136038320266797
9,1,PL,JI-2,-0.771326510112516,0.425816878516257,0.029383756507422,-0.745156834568167,-0.291482743847151,0.368602116947167,0.284935100342624,-0.498277366315211,-0.035537926937686,-1.14314640541571,-0.489238809027642,0.162051016556345,-1.37782415058051,-1.29944691275815,-0.892959658687259,0.275040778245825
10,1,PL,JI-2,0.106905483309463,0.571367979696679,0.061333508133348,0.012881951311924,-0.516573419010185,0.344492716863024,-0.437395924294352,0.666286841265961,-0.285745171918618,1.52090557710047,-0.285179469035538,-0.053308744566654,0.384637355638006,-0.763171943904308,-0.834348004647956,0.593295564191081
11,1,PL,JI-2,0.320359379393945,-0.20169230991712,0.937717569973493,0.947661576079356,1.70792890175466,0.069399015070591,1.10994317472444,-1.47056110518635,0.811063184227831,-0.979544926300207,-0.612344375288267,-0.809146681421861,1.20111081732053,0.775354745766274,0.383471918168674,-0.242123248915215
12,1,PL,JI-2,-0.669881846473541,-0.68093221063486,-1.17269303858442,-0.374420975545735,0.090501356006967,-0.48159107959912,-0.517355620663204,0.192476157743189,-0.383491982611414,0.716174909859592,1.08042694853131,-0.333095150547117,-0.205185586050969,0.164764519056278,-1.15996830486631,-0.626681115265733
13,1,PL,JI-2,2.47324918658503,-0.023148654423423,0.673247122344722,-0.021015643705778,0.533187254990571,0.029149790673283,0.692702614250594,0.418245195947669,2.90163078241771,1.10913388261607,2.94906336700893,-0.274012330528928,0.003100925926047,1.10676062539506,2.47395424557048,-0.109517088104692
14,1,PL,JI-2,1.19501387067014,-0.69094327657093,1.48659614150946,0.912389754236613,0.002827288789075,0.926271748144353,0.280759776500792,-2.06478406665348,-0.243864659475557,-1.0135655368501,-0.39572324282059,-0.919905039502808,-0.682649794480881,-0.435783105240725,0.800265902448162,-0.692984195670994
15,1,PL,JI-2,-0.253613549131017,-0.210841695648403,-0.39307324972573,-0.16759983837692,-0.640816203383726,0.824530653140045,-0.981400214525332,0.490256772596052,-0.398169373210725,-0.064174856253995,-1.02074220621638,-0.225575389802323,0.339935494018809,1.08265837960387,0.10995086598526,-0.215602016753111
16,1,PL,JI-2,1.51397221496635,-0.047092310492853,1.44769902682136,0.388045874548379,0.558115309076487,0.455321421649346,0.500660165503956,-0.080753607637293,0.109238009654475,-0.373369742959302,-0.959328998558013,-0.360321088772023,-0.621758610005002,0.389718813107329,0.735141842404492,-0.09625647202364
17,1,PL,JI-2,0.276826500610812,0.146577224047537,0.554963673293009,-0.154315645734848,-0.717871714533129,0.337899182951784,-0.140768347703109,0.568163102200166,0.648612902934929,-0.06375643814884,-0.030314657253336,0.425636081778651,0.924200906965938,0.612664586675782,0.683042594369556,0.102652769192145
